PERIODO,DEPARTAMENTO,Municipio,CODIGO PLANTEL EDUCATIVO,GRADO,TOTAL INSCRITOS,TOTAL EVALUADOS,CLASIFICACION,INDICE TOTAL,APROBACIÓN,POBLACIÓN DANE,No. ACCESOS FIJOS A INTERNET,REPITENCIA,DESERCIÓN,COBERTURA_NETA,REPROBACIÓN
2021,cundinamarca,la calera,425377800011,11.0,138.0,129.0,A+,0.86,92.88,31209,7026,5.17,2.89,138.75,4.23
2021,cundinamarca,la calera,425377800037,11.0,63.0,61.0,A+,0.88,92.88,31209,7026,5.17,2.89,138.75,4.23
2021,cundinamarca,sopó,425758800009,11.0,56.0,53.0,A+,0.89,92.28,27000,3885,3.44,2.09,93.06,5.63
2021,cundinamarca,tenjo,425799000459,11.0,99.0,95.0,A+,0.84,90.73,22915,2582,3.24,3.63,145.05,5.64
2021,cundinamarca,tenjo,425799000483,11.0,30.0,27.0,A,0.77,90.73,22915,2582,3.24,3.63,145.05,5.64
2021,cundinamarca,tenjo,425799000637,11.0,218.0,212.0,A,0.77,90.73,22915,2582,3.24,3.63,145.05,5.64
2021,cundinamarca,villeta,325875000451,11.0,81.0,80.0,A,0.73,95.84,28051,3591,2.98,3.08,99.37,1.09
2021,cundinamarca,viotá,225878000708,11.0,85.0,84.0,D,0.61,94.69,13761,441,3.57,2.73,101.43,2.58
2021,cundinamarca,fusagasugá,325290001214,11.0,174.0,173.0,A+,0.78,88.77,144966,30378,3.29,4.22,95.58,7.01
2021,cundinamarca,soacha,325754002901,11.0,198.0,198.0,A,0.76,93.25,688156,128998,3.01,3.55,88.73,3.24
2021,cundinamarca,girardot,325307000063,11.0,10.0,10.0,D,0.5,87.04,105557,20344,3.45,5.02,96.97,7.94
2021,cundinamarca,facatativá,425269001373,11.0,34.0,34.0,A+,0.79,89.9,146026,21090,2.88,3.59,88.01,6.52
2021,cundinamarca,gachancipá,125295000110,11.0,252.0,245.0,B,0.69,90.76,17751,1397,5.04,3.89,77.98,4.37
2021,cundinamarca,la vega,225402003059,11.0,99.0,98.0,C,0.66,91.96,21332,595,3.04,3.68,74.42,4.36
2021,cundinamarca,pulí,125580000298,11.0,76.0,75.0,C,0.64,96.28,3461,32,3.05,2.18,75.34,1.55
2021,cundinamarca,sopó,225758000046,11.0,76.0,75.0,C,0.64,92.28,27000,3885,3.44,2.09,93.06,5.63
2021,antioquia,venecia,205861000037,11.0,93.0,90.0,C,0.62,93.14,8101,729,4.23,4.57,102.3,2.29
